Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
1,AS/38209/2024/(Filing,M/S BHARADWAJ ASSOCIATES,,KARIMNAGAR,
2,FCA/219/2024IA,RUDRESH DESHPANDE,N HARI PRASAD,NIZAMABAD,
3,CRLA/884/2024IA,T S ANIRUDH REDDY,PUBLIC PROSECUTOR,VIKARABAD,
4,CRLA/885/2024IA,ALLURI DIVAKAR REDDY,PUBLIC PROSECUTOR,JAGTIAL,
5,FCA/206/2024IA,KOTHACHERUVU  RAMESH BABU,,RANGA REDDY,
6,CRLA/870/2024IA,MADEPALLI NAVEEN KUMARLEGAL AID,PUBLIC PROSECUTOR,MEDAK,
7,WP/22772/2024IA,M/S INDUS LAW FIRM,SHASHI KIRAN PUSLURI (SC FOR TSLSA)RAKESH JANGEM (R12),MEDCHAL-MALKAJGIRI,
8,AS/451/2012IA,P VINAYAKA SWAMY,"GP FOR APPEALSTHE ADVOCATE GENERAL (R89)RR1 TO 4-APP BY ADVOCATE GENERAL
 MEMO FILED VIDE USR NO.76965/2019",WARANGAL,
9,AS/1693/2018IA,C DAMODAR REDDY,SREENIVASA RAO KAJACOUNTER AFFIDAVIT FILED VIDE USR NO.61578/2024.,KHAMMAM,
10,AS/661/2019IA,TRUPTHI AGARWALG MADHUSUDHAN REDDYP LAKSHMA REDDYR RANGANATHAN,"P PANDURANGA RAO (R7)P PANDURANGA RAO (R12)P PANDURANGA RAO (R39)P PANDURANGA RAO (R43)P PANDURANGA RAO (R36)P PANDURANGA RAO (R25)P PANDURANGA RAO (R1)P PANDURANGA RAO (R45)NAMBI KRISHNA (R50)RR-4,5,7,8,12,14 TO 18,20,22,23,-
 25,27,36,38,39,43,-
 45 & 46-APP BY M/S P.PANDURANGA RAO
 NS SENT RETURNED UNSERVED WITH -
 POSAL ENDORSEMENT AS FOLLWING RESPONDENTS 
 WERE RR-1,2,19,21,41,50 & 52-( PARTIES LEFT W/I )
 R-26-NS NOT YET RETURNED
 RR-6 TO 9,28,39,45 & 49--SERVED
 RR-24,29,30,32,35,40,47 & 48-( NO SUCH PERSON )
 RR-13,29-( INSUFFCIENT ADDRESSES )
 RR-16,31,33,42 & 44-( UN-CLAIMED & NOT CLAIMED )
 RR-34,37 & 51-( PARTIES EXPIRED )
 R-3-( POSTAL TRACK REPORT )AS PER MEMO-
 FILED VIDE USR NO.27307/2023
 RR-10,13 & 48( REFUSED )AS PER MEMO-
 FILED USR NO.27307/2023
 PROOF OF SERVICE FILED VIDE USR No.113350/2022
 RR-10,11 & 26-ARE ONE AND THE SAME PERSON/VIDE C.T.
 RR-17 & 19-ARE ONE AND THE SAME PERSON/VIDE C.T.
 RR-20 & 21-ARE ONE AND THE SAME PERSON/VIDE C.T.
 MEMO FILED VIDE USR NO.33418/2023
 PROOF OF MEMO FILED (IN NAMSTHE TEANGANA-
 TELGU DAILY NEWSPAPER  & TEMES OF INDIA-
 ENGLISH DAILY NEWSPAPER HAVING CIRCULATION-
 IN HYDERABAD & RANGA REDDY DISTRICT EDITION-
 AS PER CO.DT.05/07/2023)VIDE USR-
 NO.66279/2023 FOR RR-1,2,24,29,30,32,35,-
 40,42,47 & R-52",RANGA REDDY,
